iter	Passed	Remaining
879	5370	732
880	5375	726
881	5381	719
882	5386	713
883	5393	707
884	5399	701
885	5406	695
886	5417	690
887	5423	684
888	5429	677
889	5435	671
890	5441	665
891	5447	659
892	5453	653
893	5458	647
894	5465	641
895	5471	635
896	5477	628
897	5483	622
898	5489	616
899	5494	610
900	5501	604
901	5506	598
902	5512	592
903	5518	586
904	5528	580
905	5543	575
906	5549	569
907	5555	562
908	5561	556
909	5566	550
910	5572	544
911	5579	538
912	5587	532
913	5595	526
914	5602	520
915	5609	514
916	5617	508
917	5624	502
918	5630	496
919	5636	490
920	5642	483
921	5648	477
922	5654	471
923	5660	465
924	5669	459
925	5675	453
926	5681	447
927	5687	441
928	5693	435
929	5699	428
930	5705	422
931	5711	416
932	5716	410
933	5722	404
934	5728	398
935	5733	392
936	5739	385
937	5745	379
938	5751	373
939	5757	367
940	5764	361
941	5771	355
942	5777	349
943	5783	343
944	5789	336
945	5795	330
946	5801	324
947	5807	318
948	5812	312
949	5818	306
950	5824	300
951	5829	293
952	5835	287
953	5841	281
954	5846	275
955	5853	269
956	5859	263
957	5866	257
958	5872	251
959	5879	244
960	5884	238
961	5890	232
962	5896	226
963	5902	220
964	5907	214
965	5914	208
966	5919	202
967	5925	195
968	5932	189
969	5938	183
970	5944	177
971	5949	171
972	5955	165
973	5967	159
974	5977	153
975	5983	147
976	5990	141
977	6005	135
978	6011	128
979	6017	122
980	6025	116
981	6030	110
982	6036	104
983	6042	98
984	6047	92
985	6053	85
986	6059	79
987	6065	73
988	6070	67
989	6077	61
990	6083	55
991	6089	49
992	6094	42
993	6100	36
994	6105	30
995	6112	24
996	6118	18
997	6124	12
998	6129	6
999	6135	0
